zip_paths,means,stds
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_175.zip,158.24,14.92954497
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_174.zip,162.96,18.44397468
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_198.zip,163.95,22.96214496
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_179.zip,164.93,20.21313454
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_188.zip,165.38,15.41400387
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_119.zip,165.82,13.91197435
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_123.zip,167.86,19.49670783
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_191.zip,172.57,14.92151521
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_101.zip,172.89,13.57425891
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_160.zip,175.25,22.84571662
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_142.zip,178.15,17.69059272
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_131.zip,178.94,23.25997994
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_195.zip,181.13,27.47107018
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_111.zip,181.47,20.37697998
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_183.zip,186.48,15.5806666
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_180.zip,186.83,14.00292538
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_159.zip,190.03,15.8384872
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_128.zip,190.11,16.36385213
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_104.zip,190.48,23.55071038
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_103.zip,192.09,18.72776527
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_135.zip,194.91,19.93174971
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_133.zip,198.19,16.15686676
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_118.zip,199.21,19.79556883
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_149.zip,200.15,24.57122198
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_122.zip,202.95,30.3179698
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_100.zip,204.07,23.38706152
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_158.zip,204.42,17.16714033
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_115.zip,205.53,15.53000029
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_181.zip,208.12,25.9328114
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_145.zip,209.95,18.70902931
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_109.zip,210.76,16.77246421
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_171.zip,214.19,25.71549664
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_134.zip,215.66,26.35124822
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_129.zip,219.19,22.93895941
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_170.zip,221.9,23.21463314
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_132.zip,222.3,28.34687733
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_116.zip,224.08,21.44416287
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_165.zip,224.6,19.60364839
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_137.zip,227.64,19.82729473
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_169.zip,228.25,19.11706361
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_157.zip,230.09,26.52732344
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_167.zip,230.94,19.76724155
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_164.zip,235.46,28.75476948
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_154.zip,237.37,28.83658416
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_125.zip,237.54,28.12002414
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_105.zip,237.81,30.51533643
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_199.zip,237.91,18.24474187
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_185.zip,242.4,26.52614491
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_194.zip,243.35,20.70347407
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_163.zip,244.02,20.2354724
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_197.zip,247.22,19.42589129
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_120.zip,249.37,17.12972194
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_138.zip,251.04,23.4089338
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_143.zip,253.59,23.19486838
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_112.zip,256.03,18.09260969
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_124.zip,256.16,18.8640645
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_114.zip,257.69,17.29640297
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_196.zip,260.05,20.21319451
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_148.zip,264.99,31.18063858
